repo_name,commit_num,commit,code_slice,classification,result_two_steps,reasoning
1stMalware,0,3fd09,NEW@<module>@test.py_slice.py,Benign Artifact,Benign Artifact
1stMalware,1,ba466,NEW@<module>@modules_crypt_crypt.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,2,177b1,NEW@<module>@test.py_slice.py,Benign Artifact,Benign Artifact
1stMalware,2,177b1,<module>@modules_crypt_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
1stMalware,3,f5809,NEW@<body>@modules_crypt_crypt.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,3,f5809,<module>@test.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
1stMalware,3,f5809,NEW@<body>@modules_rights_getRights.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,4,c45da,<body>@modules_rights_getRights.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
1stMalware,4,c45da,NEW@<body>@modules_crypt_crypt.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,5,426f7,<body>@modules_rights_getRights.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
1stMalware,5,426f7,<body>@modules_crypt_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
1stMalware,6,21b58,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,6,21b58,<body>@modules_rights_getRights.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
1stMalware,6,21b58,NEW@<body>@modules_crypt_crypt.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,6,21b58,NEW@<module>@modules_network_smtp.py_slice.py,Full Attack Chain,Full Attack Chain
1stMalware,7,3a8ed,NEW@<module>@main.py_slice.py,Full Attack Chain,Full Attack Chain
1stMalware,7,3a8ed,<body>@modules_rights_getRights.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
1stMalware,7,3a8ed,NEW@<module>@modules_network_stmpgmail.py_slice.py,Full Attack Chain,Full Attack Chain
1stMalware,7,3a8ed,NEW@<body>@modules_crypt_crypt.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,8,03ca7,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,8,03ca7,<body>@modules_rights_getRights.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
1stMalware,8,03ca7,NEW@<body>@modules_crypt_crypt.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,9,47f7a,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,9,47f7a,NEW@<body>@modules_crypt_crypt.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,9,47f7a,NEW@<body>@modules_rights_getRights.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,10,3a1e0,NEW@<module>@main.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,10,3a1e0,NEW@<body>@modules_crypt_crypt.py_slice.py,Core Attack Chain,Core Attack Chain
1stMalware,10,3a1e0,NEW@<body>@modules_rights_getRights.py_slice.py,Core Attack Chain,Core Attack Chain
Backdoorcreator,0,04d0c,NEW@<module>@backdoorcreate.py_slice.py,Full Attack Chain,Full Attack Chain
Backdoorcreator,0,04d0c,NEW@<module>@server.py_slice.py,Undetermined,Undetermined
Backdoorcreator,1,22da0,NEW@<module>@backdoorcreate.py_slice.py,Full Attack Chain,Full Attack Chain
Backdoorcreator,1,22da0,NEW@<module>@server.py_slice.py,Undetermined,Undetermined
Backdoorcreator,2,677e6,NEW@<module>@backdoorcreate.py_slice.py,Full Attack Chain,Full Attack Chain
Backdoorcreator,2,677e6,<module>@server.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Backdoorcreator,3,697db,NEW@<module>@backdoorcreate.py_slice.py,Full Attack Chain,Full Attack Chain
Backdoorcreator,3,697db,NEW@<module>@server.py_slice.py,Undetermined,Undetermined
Backdoorcreator,4,ad97a,NEW@<module>@backdoorcreate.py_slice.py,Full Attack Chain,Full Attack Chain
